"Year","Month","Geography_Type","Strata","Strata_Name","Count","Annotation_Code","Annotation_Desc","Data_Revision_Date"
1965,09,Occurrence,Total Population,Total Population,31232,,,10/30/2024
1965,09,Residence,Total Population,Total Population,31244,,,10/30/2024
1965,10,Occurrence,Total Population,Total Population,30146,,,10/30/2024
1965,10,Residence,Total Population,Total Population,30159,,,10/30/2024
1965,11,Occurrence,Total Population,Total Population,28280,,,10/30/2024
1965,11,Residence,Total Population,Total Population,28281,,,10/30/2024
1965,12,Occurrence,Total Population,Total Population,29191,,,10/30/2024
1965,12,Residence,Total Population,Total Population,29195,,,10/30/2024
1966,01,Occurrence,Total Population,Total Population,26558,,,10/30/2024
1966,01,Residence,Total Population,Total Population,26579,,,10/30/2024
1966,02,Occurrence,Total Population,Total Population,24970,,,10/30/2024
1966,02,Residence,Total Population,Total Population,24951,,,10/30/2024
1966,03,Occurrence,Total Population,Total Population,28271,,,10/30/2024
1966,03,Residence,Total Population,Total Population,28248,,,10/30/2024
1966,04,Occurrence,Total Population,Total Population,27009,,,10/30/2024
1966,04,Residence,Total Population,Total Population,26984,,,10/30/2024
1966,05,Occurrence,Total Population,Total Population,27733,,,10/30/2024
1966,05,Residence,Total Population,Total Population,27729,,,10/30/2024
1966,06,Occurrence,Total Population,Total Population,27960,,,10/30/2024
1966,06,Residence,Total Population,Total Population,27954,,,10/30/2024
1966,07,Occurrence,Total Population,Total Population,29074,,,10/30/2024
1966,07,Residence,Total Population,Total Population,29088,,,10/30/2024
1966,08,Occurrence,Total Population,Total Population,30145,,,10/30/2024
1966,08,Residence,Total Population,Total Population,30155,,,10/30/2024
1966,09,Occurrence,Total Population,Total Population,30345,,,10/30/2024
1966,09,Residence,Total Population,Total Population,30335,,,10/30/2024
1966,10,Occurrence,Total Population,Total Population,29816,,,10/30/2024
1966,10,Residence,Total Population,Total Population,29829,,,10/30/2024
1966,11,Occurrence,Total Population,Total Population,27399,,,10/30/2024
1966,11,Residence,Total Population,Total Population,27378,,,10/30/2024
